4  10
16	10	19	82	95	96	88	24	29	78	
78	63	23	46	76	33	41	61	72	69	
100	49	13	20	51	14	66	4	22	80	
97	45	21	24	98	59	95	91	46	21	
154	274	278	60	252	467	368	434	95	185	
0	24	61	26	87	47	65	61	74	50	50	
24	0	45	4	67	24	50	38	59	25	27	
61	45	0	47	29	49	6	57	14	39	50	
26	4	47	0	68	21	53	35	61	24	24	
87	67	29	68	0	61	28	63	25	50	61	
47	24	49	21	61	0	55	14	62	11	3	
65	50	6	53	28	55	0	63	8	45	56	
61	38	57	35	63	14	63	0	69	19	11	
74	59	14	61	25	62	8	69	0	52	63	
50	25	39	24	50	11	45	19	52	0	11	
50	27	50	24	61	3	56	11	63	11	0	

