4  100
19	83	29	86	69	3	47	35	96	31	42	4	59	45	61	59	75	86	54	78	86	70	5	63	65	72	39	38	1	5	54	61	18	49	84	42	83	59	52	13	62	4	99	36	55	69	62	91	2	63	93	32	62	72	70	60	76	9	15	90	10	76	55	69	81	17	50	20	75	54	19	60	54	100	84	90	62	42	82	80	22	66	31	54	40	54	39	14	10	89	17	85	28	15	81	30	14	93	33	25	
52	90	72	29	38	45	47	46	60	45	97	16	87	67	83	26	98	6	68	80	28	55	51	30	55	41	91	85	15	11	54	16	65	44	1	75	72	91	51	39	70	38	53	95	39	62	78	82	56	95	80	16	83	72	38	87	34	56	13	81	71	34	52	4	1	73	62	59	4	22	74	57	56	62	58	14	12	79	61	13	72	67	63	82	19	37	15	69	45	36	38	66	61	52	81	55	92	12	74	42	
71	46	12	40	19	32	86	72	29	71	95	58	49	45	71	41	68	75	34	45	14	38	24	93	52	84	8	87	8	73	26	89	2	4	75	82	3	42	79	75	3	23	55	13	26	31	23	62	56	37	65	34	3	95	95	16	4	77	18	71	61	48	68	69	18	60	88	31	92	67	43	28	40	45	35	26	86	6	3	13	96	4	91	11	17	19	38	95	68	5	13	31	2	5	19	54	28	9	94	86	
11	57	48	42	34	75	42	97	50	27	64	69	94	84	10	1	1	1	9	91	84	72	7	46	24	93	62	18	32	74	50	100	24	42	33	29	73	81	99	80	82	30	21	4	47	15	39	85	39	9	28	67	83	9	32	44	60	35	46	39	24	5	28	80	39	28	1	5	31	58	47	83	84	31	55	100	41	60	8	95	60	88	80	93	87	76	35	10	84	36	86	98	84	82	18	86	100	2	19	91	
3880	1461	2006	3302	150	1078	747	1893	2695	706	3137	932	1426	3249	858	1897	451	2939	3920	4081	568	3828	3116	3969	4231	546	1148	1505	4791	1303	1169	417	3477	2318	2425	2125	1049	3575	649	203	2658	4772	3292	4637	2628	2066	2791	3815	2566	3694	2099	2415	4755	897	1050	3527	4514	1354	3113	3865	2724	2136	613	4064	2772	4439	2930	3908	3210	1563	1399	4294	4857	2795	4721	625	4018	4853	3960	4284	453	3254	930	2630	1683	4779	3618	3078	2740	4666	3612	2397	2170	3584	2556	2038	3700	3256	3610	4674	
0	85	34	46	59	26	72	56	58	21	72	62	58	59	53	31	69	52	21	82	72	66	30	13	12	54	28	58	11	78	25	7	69	68	43	42	52	6	63	37	13	41	59	62	56	68	70	50	66	70	47	21	18	61	69	64	72	80	64	60	57	13	70	77	4	11	37	35	49	42	61	72	45	57	68	76	69	62	37	45	42	24	28	75	90	82	56	57	82	85	68	68	55	64	94	61	34	24	80	22	79	
85	0	54	67	30	60	19	40	55	74	18	44	37	26	67	61	22	32	64	3	39	56	70	76	73	33	65	26	75	34	66	78	26	49	48	42	42	79	37	58	72	44	26	42	41	38	19	36	62	31	65	65	67	50	18	54	24	7	43	25	38	74	17	11	82	74	56	50	45	42	59	39	40	33	52	22	31	25	50	69	55	64	68	10	20	4	33	61	16	14	69	64	29	21	19	45	64	61	26	63	23	
34	54	0	22	36	22	38	21	27	20	47	27	23	28	28	7	46	24	20	51	37	35	17	23	23	32	11	32	29	43	12	27	34	35	32	19	37	30	28	8	24	12	28	27	21	52	45	27	37	35	22	24	17	28	37	32	50	49	30	31	22	29	44	49	33	23	5	21	36	15	31	37	19	37	36	41	35	29	25	23	10	26	14	46	55	52	22	28	48	52	41	39	26	37	61	49	11	11	45	21	45	
46	67	22	0	56	43	48	27	16	25	64	25	30	43	7	18	64	42	39	64	35	23	16	33	37	53	18	50	45	43	21	40	41	27	55	41	59	44	31	14	40	33	43	26	26	73	62	48	21	39	2	44	34	20	49	21	68	60	27	48	29	46	61	65	46	37	17	44	58	36	17	35	40	58	26	47	38	43	48	2	13	47	18	61	61	66	34	12	55	59	22	22	43	54	67	71	13	30	48	41	49	
59	30	36	56	0	32	28	34	51	54	13	43	33	17	59	43	10	14	37	27	46	56	53	53	48	4	47	8	48	46	47	53	31	52	18	18	12	52	38	43	46	24	17	41	36	17	11	9	61	38	55	37	42	48	23	53	14	29	44	12	33	47	12	19	55	49	40	23	15	21	56	46	17	4	54	35	37	21	21	57	43	36	50	20	44	26	26	56	36	37	68	64	14	10	46	20	48	38	41	36	39	
26	60	22	43	32	0	49	39	49	27	46	48	40	36	49	25	43	28	6	57	56	56	31	23	17	28	26	33	16	60	24	21	48	56	18	17	26	20	46	29	14	19	36	47	40	42	43	24	59	51	43	5	12	49	46	53	46	56	50	35	39	14	44	51	22	18	26	9	23	19	53	56	20	31	57	55	50	39	11	43	32	5	28	50	68	56	36	50	59	62	63	61	31	39	72	36	30	13	60	4	59	
72	19	38	48	28	49	0	21	36	58	25	25	18	13	48	44	27	21	52	16	22	37	53	61	60	30	49	21	64	19	50	65	7	30	43	32	40	66	18	41	59	31	13	23	22	43	24	29	43	13	46	54	53	31	5	35	31	12	25	17	19	63	21	21	69	60	39	41	42	30	40	22	29	32	34	7	12	10	42	50	37	54	51	16	18	18	16	42	10	13	50	45	18	18	22	48	46	47	13	51	11	
56	40	21	27	34	39	21	0	17	39	39	9	3	18	27	25	40	20	39	37	17	22	33	44	44	33	29	27	50	22	31	48	15	18	41	25	42	51	7	20	44	20	18	8	1	52	38	29	26	14	25	42	38	14	22	19	44	33	11	23	2	49	35	39	54	44	19	34	42	21	22	17	23	37	20	21	14	16	36	29	17	44	32	34	36	39	8	22	29	33	33	29	20	29	41	53	26	31	24	39	25	
58	55	27	16	51	49	36	17	0	38	56	11	19	35	12	27	57	37	47	52	19	8	29	45	48	50	29	44	56	27	32	51	29	11	56	40	58	55	18	21	50	33	35	13	16	69	55	46	10	25	14	51	44	5	38	5	62	48	12	41	19	56	53	55	57	48	23	47	58	35	5	19	38	54	10	34	25	34	50	18	17	53	30	51	46	55	25	6	42	46	16	13	37	47	52	70	24	38	33	48	35	
