2  20
60	1	73	10	65	80	19	20	19	8	56	96	89	18	12	11	41	14	33	29	
43	66	36	42	13	73	7	17	53	89	65	86	25	92	30	83	16	7	16	54	
662	437	790	425	736	645	544	742	830	745	913	737	556	982	591	827	128	607	716	445	
0	88	34	47	73	47	42	39	81	65	12	54	33	70	26	70	55	56	65	47	71	
88	0	56	49	32	41	47	49	21	33	75	35	57	42	73	39	60	50	35	59	20	
34	56	0	14	51	20	21	8	47	43	23	29	22	36	17	36	27	25	44	20	38	
47	49	14	0	52	23	28	14	36	45	37	30	34	22	25	22	16	11	47	11	29	
73	32	51	52	0	31	32	43	45	8	61	22	39	59	68	56	68	59	7	64	35	
47	41	20	23	31	0	8	12	38	23	35	9	18	38	37	37	40	32	25	34	26	
42	47	21	28	32	8	0	14	46	24	29	12	10	46	36	44	45	38	25	38	34	
39	49	8	14	43	12	14	0	41	35	28	21	19	35	25	34	30	25	37	24	31	
81	21	47	36	45	38	46	41	0	43	69	37	56	23	61	20	42	32	45	43	12	
65	33	43	45	8	23	24	35	43	0	53	14	31	54	60	52	61	53	2	57	32	
12	75	23	37	61	35	29	28	69	53	0	42	22	60	21	60	48	47	53	40	59	
54	35	29	30	22	9	12	21	37	14	42	0	22	42	46	40	47	38	16	42	25	
33	57	22	34	39	18	10	19	56	31	22	22	0	54	34	53	50	45	31	42	44	
70	42	36	22	59	38	46	35	23	54	60	42	54	0	46	3	20	13	56	24	25	
26	73	17	25	68	37	36	25	61	60	21	46	34	46	0	47	29	32	61	22	54	
70	39	36	22	56	37	44	34	20	52	60	40	53	3	47	0	22	14	54	26	21	
55	60	27	16	68	40	45	30	42	61	48	47	50	20	29	22	0	10	63	8	40	
56	50	25	11	59	32	38	25	32	53	47	38	45	13	32	14	10	0	55	11	30	
65	35	44	47	7	25	25	37	45	2	53	16	31	56	61	54	63	55	0	59	34	
47	59	20	11	64	34	38	24	43	57	40	42	42	24	22	26	8	11	59	0	39	
71	20	38	29	35	26	34	31	12	32	59	25	44	25	54	21	40	30	34	39	0	

