4  10
16	76	28	29	58	20	7	6	30	41	
77	64	58	47	11	39	5	73	84	13	
69	44	5	63	41	81	96	5	83	4	
15	74	6	81	6	50	7	75	74	76	
131	289	363	403	320	479	448	241	213	355	
0	46	26	69	66	59	40	46	71	15	76	
46	0	33	23	40	16	28	34	24	36	30	
26	33	0	54	67	49	14	20	55	11	62	
69	23	54	0	41	15	46	50	4	59	9	
66	40	67	41	0	28	67	74	45	64	38	
59	16	49	15	28	0	44	50	19	50	17	
40	28	14	46	67	44	0	8	45	24	55	
46	34	20	50	74	50	8	0	49	31	59	
71	24	55	4	45	19	45	49	0	60	11	
15	36	11	59	64	50	24	31	60	0	66	
76	30	62	9	38	17	55	59	11	66	0	

