2  20
60	35	64	63	2	56	100	37	18	45	57	95	54	17	77	5	78	1	22	85	
73	72	45	99	24	5	77	16	92	64	47	57	40	35	22	92	3	23	88	99	
710	405	610	653	593	618	374	198	581	386	823	839	324	815	844	757	338	458	204	567	
0	61	48	74	24	57	68	30	5	37	20	74	65	62	69	52	73	21	13	73	55	
61	0	23	39	41	34	64	39	59	41	45	14	8	13	67	8	30	43	47	46	28	
48	23	0	58	36	47	76	37	48	44	38	37	30	15	78	18	51	27	35	63	42	
74	39	58	0	50	16	34	43	70	37	54	33	32	52	36	41	10	65	64	9	19	
24	41	36	50	0	33	49	6	20	15	4	52	44	46	50	33	48	20	15	49	30	
57	34	47	16	33	0	30	27	53	21	37	34	29	46	33	31	18	49	47	17	5	
68	64	76	34	49	30	0	43	63	34	51	63	60	76	2	61	43	69	63	25	36	
30	39	37	43	6	27	43	0	26	9	10	48	40	45	45	31	43	25	21	43	24	
5	59	48	70	20	53	63	26	0	33	16	71	63	61	64	50	69	21	13	68	51	
37	41	44	37	15	21	34	9	33	0	18	48	41	49	36	34	38	34	30	35	20	
20	45	38	54	4	37	51	10	16	18	0	56	47	49	52	36	53	18	12	53	35	
74	14	37	33	52	34	63	48	71	48	56	0	8	25	66	22	22	57	60	42	30	
65	8	30	32	44	29	60	40	63	41	47	8	0	20	62	14	22	48	52	40	24	
62	13	15	52	46	46	76	45	61	49	49	25	20	0	78	15	43	41	48	59	40	
69	67	78	36	50	33	2	45	64	36	52	66	62	78	0	63	45	70	64	27	38	
52	8	18	41	33	31	61	31	50	34	36	22	14	15	63	0	33	34	38	46	25	
73	30	51	10	48	18	43	43	69	38	53	22	22	43	45	33	0	61	61	19	18	
21	43	27	65	20	49	69	25	21	34	18	57	48	41	70	34	61	0	8	66	45	
13	47	35	64	15	47	63	21	13	30	12	60	52	48	64	38	61	8	0	64	44	
73	46	63	9	49	17	25	43	68	35	53	42	40	59	27	46	19	66	64	0	22	
55	28	42	19	30	5	36	24	51	20	35	30	24	40	38	25	18	45	44	22	0	

