2  50
42	41	54	39	81	7	100	83	93	1	54	27	71	33	66	55	32	6	11	39	12	97	58	2	8	79	36	80	81	95	4	78	28	81	2	79	47	60	87	93	3	77	30	36	19	15	82	88	1	69	
80	41	11	90	7	87	15	1	65	46	8	98	91	97	42	12	67	1	61	77	49	81	78	61	73	57	82	98	68	89	22	10	19	31	54	22	17	52	92	74	49	25	57	37	53	37	58	29	87	20	
143	1132	1322	1696	2038	2120	419	604	2223	385	1298	218	1821	499	1962	2037	1233	2480	2362	2497	1445	1855	2081	1456	936	466	92	2005	1438	519	639	1697	262	2191	1135	987	2040	1791	429	2008	639	973	884	1438	877	1963	947	2038	1363	1728	
0	43	50	52	53	84	69	4	63	29	56	14	60	87	80	72	65	68	54	53	22	45	71	70	63	92	40	64	45	13	39	85	70	78	84	59	11	27	13	83	21	29	36	26	69	42	33	48	57	52	36	
43	0	20	8	34	47	61	39	42	20	38	35	24	45	46	30	33	25	13	16	38	36	46	28	44	55	6	51	36	32	10	46	30	38	46	16	37	17	38	43	23	14	13	28	28	31	41	19	20	40	15	
50	20	0	20	54	63	82	47	62	37	59	47	42	55	63	43	51	36	31	35	52	56	66	24	64	70	16	72	56	37	30	59	22	52	61	20	48	30	49	56	33	24	31	44	22	51	59	2	9	61	14	
52	8	20	0	36	43	65	48	43	28	41	43	22	38	43	25	31	18	11	15	46	41	46	20	45	50	12	54	41	40	17	40	23	33	42	8	45	25	46	38	31	22	20	36	21	36	48	20	16	44	20	
53	34	54	36	0	35	28	49	10	26	5	38	19	46	30	34	17	37	27	22	34	11	17	53	11	43	39	18	11	49	25	40	59	35	36	42	42	33	41	39	37	38	25	26	56	11	27	53	53	9	46	
84	47	63	43	35	0	51	80	30	54	36	70	24	17	6	20	19	28	33	32	67	46	24	47	32	8	53	42	46	76	46	8	53	11	2	43	74	58	73	10	64	59	48	58	51	45	62	63	57	43	63	
69	61	82	65	28	51	0	66	23	49	23	55	46	67	45	59	40	63	55	50	47	27	27	81	21	57	66	10	27	69	51	59	87	56	53	70	58	56	56	59	59	63	51	45	84	32	36	81	81	21	72	
4	39	47	48	49	80	66	0	59	25	52	11	55	83	76	68	61	64	50	49	19	41	67	66	59	88	37	61	41	10	35	81	67	74	79	55	8	23	10	79	17	25	32	22	65	38	30	45	54	48	33	
63	42	62	43	10	30	23	59	0	36	7	48	23	44	24	35	16	40	33	28	43	19	8	58	2	37	47	13	19	59	34	37	64	33	32	48	52	43	51	37	47	48	35	36	61	21	35	62	60	13	55	
