2  50
42	77	82	72	24	47	52	27	41	95	56	27	33	81	28	90	23	24	83	80	37	61	29	95	85	10	11	29	28	84	58	56	16	89	32	99	15	51	17	55	16	18	82	46	32	58	37	45	86	25	
7	68	99	96	73	68	70	62	81	28	57	67	64	85	68	81	1	89	53	10	45	19	7	13	34	66	95	41	37	10	77	65	32	85	72	5	84	81	26	30	4	57	26	41	65	21	22	5	57	63	
2472	1425	1470	1895	1840	675	2392	1485	860	531	1968	1332	438	337	2113	1966	962	1542	1662	1005	1479	674	1832	1584	433	2151	1167	845	2311	1076	2127	2369	1504	123	1178	2065	1640	840	1709	1225	2480	1622	2026	1158	381	1514	193	1237	590	416	
0	85	59	46	83	69	34	57	71	67	85	60	60	67	10	83	28	46	5	18	29	53	15	60	53	20	58	68	51	65	42	67	72	79	64	60	64	92	59	63	60	17	78	72	16	56	71	37	59	25	90	
85	0	29	45	3	38	54	31	23	24	1	55	65	21	74	12	63	44	82	67	55	33	70	50	50	65	26	17	43	27	42	33	30	18	40	47	30	9	26	47	65	67	8	30	69	30	22	47	40	59	5	
59	29	0	32	26	42	36	2	12	8	29	52	39	24	49	24	44	31	55	43	33	21	44	47	22	41	10	12	15	6	21	36	38	34	16	21	31	34	13	46	39	42	21	38	43	18	29	24	13	35	33	
46	45	32	0	44	23	11	32	43	39	44	21	62	24	37	49	20	1	45	28	19	13	36	18	46	26	24	33	38	38	14	21	26	34	47	50	18	54	22	20	62	31	41	26	33	16	26	17	43	23	51	
83	3	26	44	0	39	53	28	20	21	4	56	62	21	73	9	62	43	80	65	54	32	69	51	47	63	24	15	41	24	41	34	31	20	37	44	31	9	24	48	62	65	5	31	67	29	23	45	37	57	7	
69	38	42	23	39	0	34	43	48	45	37	18	79	20	60	47	41	23	68	51	42	23	59	13	62	49	31	35	54	46	34	5	8	20	59	63	11	47	29	9	79	54	38	8	56	24	16	38	55	46	43	
34	54	36	11	53	34	0	35	47	43	54	29	59	34	26	56	9	12	33	17	9	21	25	27	43	15	30	40	37	42	15	32	37	45	48	49	29	62	29	30	59	20	49	37	22	24	37	13	43	12	60	
57	31	2	32	28	43	35	0	13	10	32	52	37	25	47	26	43	31	53	41	31	21	42	48	20	39	11	14	13	7	20	37	39	36	16	20	31	36	14	47	37	40	23	39	41	19	30	22	12	34	35	
71	23	12	43	20	48	47	13	0	4	24	60	42	28	61	13	56	42	67	55	45	30	56	55	27	53	19	12	22	6	32	42	42	35	17	24	37	25	21	54	42	54	15	42	55	27	32	36	17	47	26	
67	24	8	39	21	45	43	10	4	0	25	57	41	25	57	16	52	38	63	51	41	26	52	52	26	49	15	10	20	3	28	39	39	33	16	23	34	27	17	50	41	50	16	39	51	23	30	32	16	43	27	
85	1	29	44	4	37	54	32	24	25	0	54	66	20	74	14	63	43	82	67	55	32	71	49	51	65	26	18	44	28	42	32	29	17	41	48	29	10	26	46	66	67	9	29	69	29	21	47	41	59	6	
60	55	52	21	56	18	29	52	60	57	54	0	84	35	53	63	32	22	60	44	38	31	53	5	68	43	42	49	60	57	36	22	26	38	68	71	25	64	39	8	84	48	54	26	50	33	33	39	64	41	60	
60	65	39	62	62	79	59	37	42	41	66	84	0	63	52	55	63	62	55	53	50	56	47	81	17	53	48	50	25	38	48	74	76	73	25	18	68	67	51	81	0	49	57	76	49	55	68	46	25	49	68	
67	21	24	24	21	20	34	25	28	25	20	35	63	0	57	28	43	23	65	49	38	13	54	30	45	47	14	15	37	26	25	14	14	12	40	46	10	30	12	27	63	50	19	14	52	11	5	31	38	42	26	
10	74	49	37	73	60	26	47	61	57	74	53	52	57	0	73	21	37	7	9	19	43	5	53	43	11	48	58	41	54	32	58	63	69	54	51	54	82	48	56	52	7	67	63	5	46	61	27	49	15	80	
83	12	24	49	9	47	56	26	13	16	14	63	55	28	73	0	65	48	79	66	55	36	68	58	41	64	26	16	36	19	42	41	40	30	30	37	38	12	27	55	55	66	9	40	67	32	31	46	31	58	13	
28	63	44	20	62	41	9	43	56	52	63	32	63	43	21	65	0	20	28	13	13	30	22	32	49	12	39	49	44	50	23	40	45	54	56	55	38	72	38	35	63	17	58	45	19	33	46	21	51	13	69	
46	44	31	1	43	23	12	31	42	38	43	22	62	23	37	48	20	0	45	28	19	12	36	19	45	26	23	32	38	37	14	20	25	33	47	49	17	53	21	20	62	31	40	25	33	15	25	17	42	23	50	
5	82	55	45	80	68	33	53	67	63	82	60	55	65	7	79	28	45	0	16	27	51	11	60	48	18	55	65	47	61	39	66	70	76	59	55	62	89	56	63	55	14	75	70	13	53	68	34	55	23	87	
18	67	43	28	65	51	17	41	55	51	67	44	53	49	9	66	13	28	16	0	11	35	8	44	42	2	41	51	38	49	24	49	54	60	50	49	45	75	41	47	53	4	60	54	5	38	52	19	45	7	72	
