4  10
16	45	10	35	32	72	69	42	28	16	
79	63	88	45	40	27	77	48	61	25	
30	55	21	77	62	46	36	4	61	56	
79	16	36	67	89	67	82	8	18	66	
177	259	193	169	184	454	287	177	428	466	
0	52	50	26	77	69	44	66	25	27	60	
52	0	32	25	34	55	20	18	44	24	57	
50	32	0	32	32	24	13	50	28	31	24	
26	25	32	0	53	56	21	41	24	1	51	
77	34	32	53	0	39	33	43	59	51	49	
69	55	24	56	39	0	38	72	43	55	13	
44	20	13	21	33	38	0	38	28	19	38	
66	18	50	41	43	72	38	0	62	40	75	
25	44	28	24	59	43	28	62	0	25	34	
27	24	31	1	51	55	19	40	25	0	50	
60	57	24	51	49	13	38	75	34	50	0	

