2  20
60	68	19	36	34	68	9	28	69	26	56	96	21	68	45	58	59	58	27	57	
8	19	91	21	69	39	42	67	23	26	56	22	82	14	76	87	10	65	2	27	
686	897	700	63	189	156	459	470	230	90	392	788	916	423	718	792	233	533	935	981	
0	62	86	83	22	69	48	66	43	74	47	88	58	40	47	44	83	61	13	60	42	
62	0	46	46	57	7	55	69	46	61	16	63	74	63	72	69	49	21	60	65	23	
86	46	0	4	69	49	48	48	46	31	46	22	60	61	66	65	6	29	77	49	48	
83	46	4	0	65	49	44	44	42	28	44	19	56	57	62	61	3	27	73	45	45	
22	57	69	65	0	65	26	43	23	52	41	67	36	18	25	22	65	49	9	37	34	
69	7	49	49	65	0	63	76	53	67	24	67	81	70	79	77	52	26	67	72	30	
48	55	48	44	26	63	0	19	10	26	41	42	18	12	18	17	43	38	35	13	36	
66	69	48	44	43	76	19	0	28	17	56	33	13	26	24	26	41	49	53	6	52	
43	46	46	42	23	53	10	28	0	31	31	45	28	17	25	23	42	31	31	22	25	
74	61	31	28	52	67	26	17	31	0	52	17	30	38	39	40	25	40	62	20	50	
47	16	46	44	41	24	41	56	31	52	0	58	59	47	56	53	46	17	44	52	6	
88	63	22	19	67	67	42	33	45	17	58	0	47	54	56	57	16	43	77	37	57	
58	74	60	56	36	81	18	13	28	30	59	47	0	18	12	14	54	56	45	11	54	
40	63	61	57	18	70	12	26	17	38	47	54	18	0	9	6	56	48	27	20	41	
47	72	66	62	25	79	18	24	25	39	56	56	12	9	0	3	60	56	34	19	50	
44	69	65	61	22	77	17	26	23	40	53	57	14	6	3	0	60	54	31	20	47	
83	49	6	3	65	52	43	41	42	25	46	16	54	56	60	60	0	29	73	43	47	
61	21	29	27	49	26	38	49	31	40	17	43	56	48	56	54	29	0	54	46	19	
13	60	77	73	9	67	35	53	31	62	44	77	45	27	34	31	73	54	0	47	38	
60	65	49	45	37	72	13	6	22	20	52	37	11	20	19	20	43	46	47	0	47	
42	23	48	45	34	30	36	52	25	50	6	57	54	41	50	47	47	19	38	47	0	

