4  10
16	9	82	2	89	32	16	97	80	22	
76	64	26	97	79	92	86	29	89	84	
4	91	51	84	85	15	61	55	13	67	
25	39	49	60	60	46	14	17	87	4	
120	71	406	123	128	260	489	370	498	215	
0	69	54	47	81	18	69	56	53	76	60	
69	0	57	58	57	50	49	40	16	17	80	
54	57	0	7	29	44	19	17	46	50	23	
47	58	7	0	36	38	26	21	46	53	22	
81	57	29	36	0	67	12	26	54	43	44	
18	50	44	38	67	0	55	41	34	57	56	
69	49	19	26	12	55	0	14	43	36	40	
56	40	17	21	26	41	14	0	31	32	41	
53	16	46	46	54	34	43	31	0	24	68	
76	17	50	53	43	57	36	32	24	0	73	
60	80	23	22	44	56	40	41	68	73	0	

