2  70
53	43	67	7	37	93	51	56	63	40	73	61	62	31	50	38	23	35	9	69	59	77	28	88	19	7	22	31	99	81	30	97	14	63	90	17	64	32	85	58	75	71	22	65	43	56	42	74	52	4	23	91	3	7	62	74	28	100	16	12	16	92	73	42	30	29	35	87	49	89	
91	65	99	84	68	60	19	92	4	82	24	68	77	26	7	62	10	54	44	7	71	1	41	89	29	43	2	69	43	12	31	72	70	7	70	1	68	92	76	7	63	5	35	67	73	96	31	89	53	10	45	14	55	19	31	26	57	43	18	38	73	39	89	68	83	18	13	71	99	60	
1484	1547	422	3105	2457	2466	934	2641	2529	528	1350	953	130	1241	1743	1544	2922	1312	2936	3215	2067	719	73	2523	1523	1511	2166	1151	1548	2526	1791	611	2938	904	308	2943	195	2670	2436	3269	2547	1506	2710	3238	2703	454	1908	140	1287	1164	3499	1442	3373	912	590	2270	1896	1386	3497	3190	2407	428	1094	2376	401	1805	2687	1539	209	391	
0	61	27	34	66	67	69	59	32	71	57	48	32	52	53	65	84	25	31	28	61	73	57	65	57	45	64	55	51	63	15	23	21	33	16	66	22	70	32	77	55	46	6	95	62	94	49	78	83	32	38	63	74	56	31	65	77	71	32	56	50	39	64	17	41	90	69	59	57	54	32	
61	0	36	31	5	8	54	22	31	24	38	38	38	23	7	51	31	35	29	32	29	12	9	31	20	32	17	27	35	32	52	39	41	27	48	30	39	44	34	18	5	47	54	37	28	35	21	36	32	47	29	55	13	21	31	24	16	19	33	7	15	44	29	45	33	34	8	8	11	15	32	
27	36	0	22	41	43	47	42	19	43	33	25	26	25	29	43	57	7	12	10	35	48	35	39	40	20	37	28	41	49	16	3	5	9	12	51	12	46	6	50	32	26	20	68	47	68	22	51	55	16	24	43	49	28	17	38	51	44	6	30	30	19	37	9	31	63	44	37	30	35	21	
34	31	22	0	36	35	66	24	3	50	49	44	7	36	24	62	61	16	11	12	47	42	24	51	23	37	42	41	18	29	33	22	24	17	30	32	14	61	26	49	25	48	30	68	28	67	32	61	60	39	3	63	43	38	5	47	47	47	26	30	16	41	49	25	8	65	39	26	33	20	2	
66	5	41	36	0	6	54	25	37	23	40	41	43	26	13	52	27	41	34	38	30	7	13	32	24	36	17	29	39	35	58	44	46	33	54	32	44	44	39	13	11	50	60	31	31	30	25	34	28	51	34	57	7	23	36	24	10	16	38	11	20	48	30	51	38	30	3	12	14	19	38	
67	8	43	35	6	0	61	20	36	29	46	46	42	31	14	58	32	42	35	38	36	7	10	38	19	40	23	35	34	29	60	46	48	34	55	26	44	50	42	18	11	55	61	35	25	33	29	40	34	55	32	63	8	28	36	30	13	22	41	15	18	52	36	52	35	35	6	8	19	15	36	
69	54	47	66	54	61	0	74	63	34	16	22	72	32	53	4	45	54	55	56	24	59	60	23	72	28	38	26	81	84	54	50	51	49	53	83	60	12	41	51	55	23	64	59	80	60	35	30	41	37	66	8	59	33	62	31	57	41	41	47	62	30	25	54	73	50	56	61	42	65	65	
59	22	42	24	25	20	74	0	27	47	57	55	29	42	21	71	52	38	31	34	50	27	13	53	2	48	39	47	15	10	57	44	46	34	53	9	38	66	44	38	19	62	54	54	6	52	38	58	53	57	21	74	28	41	28	46	33	41	43	27	13	57	51	49	20	55	26	13	32	9	26	
32	31	19	3	37	36	63	27	0	49	47	41	9	34	23	59	60	12	8	8	45	43	25	49	25	34	41	39	22	32	30	19	20	14	26	35	11	59	23	49	25	45	27	68	31	67	30	59	59	35	6	60	43	36	1	45	47	46	22	29	18	38	47	22	12	64	39	27	32	22	2	
71	24	43	50	23	29	34	47	49	0	24	30	57	19	28	33	14	46	43	46	13	26	33	12	45	28	8	17	58	57	58	47	49	38	55	55	52	23	39	17	28	38	64	27	53	28	21	11	12	46	49	39	25	15	48	5	22	7	38	21	38	39	11	53	55	20	24	33	17	39	50	
57	38	33	49	40	46	16	57	47	24	0	8	56	15	36	13	37	39	39	40	11	46	44	12	55	13	24	10	64	67	43	36	37	32	40	67	45	13	27	40	39	15	51	51	64	52	19	25	34	26	50	17	45	17	45	19	44	30	27	31	45	19	13	40	57	43	42	45	26	48	49	
48	38	25	44	41	46	22	55	41	30	8	0	49	15	35	18	44	31	33	33	17	48	43	20	53	7	28	13	60	65	34	28	29	26	32	65	37	22	19	44	38	9	42	57	62	58	17	33	41	18	44	19	48	19	39	24	48	34	19	31	42	10	19	32	52	50	44	44	27	46	43	
32	38	26	7	43	42	72	29	9	57	56	49	0	43	31	68	68	19	16	16	54	49	31	58	27	43	49	48	19	31	34	25	26	23	30	34	15	68	31	56	32	53	28	75	31	74	39	68	68	42	9	68	50	45	10	54	54	55	30	37	23	46	56	26	9	72	46	33	40	26	7	
52	23	25	36	26	31	32	42	34	19	15	15	43	0	21	29	33	29	27	29	11	33	29	15	40	10	14	5	49	52	39	28	30	21	36	51	34	25	20	30	23	24	45	45	48	45	4	26	31	27	36	32	33	4	33	13	33	21	19	16	30	22	13	34	43	39	29	30	12	33	36	
53	7	29	24	13	14	53	21	23	28	36	35	31	21	0	50	37	27	21	25	29	20	8	32	19	28	20	26	30	31	45	31	34	20	41	30	31	44	28	25	3	43	47	44	27	43	18	39	37	41	22	53	20	20	23	26	24	24	27	7	10	39	30	38	27	41	16	9	11	12	25	
65	51	43	62	52	58	4	71	59	33	13	18	68	29	50	0	45	50	51	52	22	58	58	21	69	25	36	24	77	81	50	46	47	45	49	80	56	12	37	50	52	19	60	59	77	60	32	30	41	33	63	6	57	30	58	29	55	40	38	44	58	26	23	50	70	50	55	58	40	62	61	
84	31	57	61	27	32	45	52	60	14	37	44	68	33	37	45	0	59	55	58	27	26	40	25	51	42	20	31	66	61	72	61	63	51	69	58	65	33	53	14	36	52	78	14	57	15	35	15	4	60	59	51	25	29	59	20	20	13	52	30	46	54	24	67	64	5	26	39	28	46	61	
25	35	7	16	41	42	54	38	12	46	39	31	19	29	27	50	59	0	7	4	39	48	32	43	36	26	39	33	34	44	19	6	8	8	15	46	6	52	12	51	30	34	19	70	42	69	25	55	58	23	18	50	48	32	11	42	51	46	12	31	26	26	42	11	24	65	44	34	32	31	14	
31	29	12	11	34	35	55	31	8	43	39	33	16	27	21	51	55	7	0	3	38	41	25	42	29	26	35	32	29	37	26	13	15	6	22	39	9	51	15	46	23	37	25	64	35	63	23	53	54	28	12	52	42	29	6	39	45	42	14	25	19	30	40	18	19	60	37	27	27	24	10	
28	32	10	12	38	38	56	34	8	46	40	33	16	29	25	52	58	4	3	0	40	45	29	44	32	27	38	34	30	40	23	10	12	8	19	42	6	53	15	49	27	36	22	68	38	67	25	55	57	27	14	52	45	32	7	41	48	45	14	29	22	30	42	15	20	63	41	31	30	27	10	
61	29	35	47	30	36	24	50	45	13	11	17	54	11	29	22	27	39	38	40	0	35	37	4	48	16	13	6	59	61	48	38	40	32	45	59	45	15	29	29	31	25	55	41	57	41	15	17	24	33	46	27	35	9	44	8	33	19	29	23	39	27	2	44	53	33	32	37	18	41	47	
73	12	48	42	7	7	59	27	43	26	46	48	49	33	20	58	26	48	41	45	35	0	18	36	26	43	21	35	42	36	65	51	54	40	61	32	51	49	46	11	17	57	67	27	32	25	32	36	28	58	40	62	1	29	43	28	6	19	45	18	25	55	34	58	42	28	4	16	21	23	43	
57	9	35	24	13	10	60	13	25	33	44	43	31	29	8	58	40	32	25	29	37	18	0	39	12	36	26	33	26	24	51	37	39	26	47	22	34	52	35	26	5	51	51	44	20	43	26	44	41	48	22	61	18	27	25	32	23	28	34	13	7	46	37	43	25	43	15	2	18	6	26	
65	31	39	51	32	38	23	53	49	12	12	20	58	15	32	21	25	43	42	44	4	36	39	0	51	20	15	10	62	63	52	42	44	36	49	62	49	12	33	28	34	28	59	39	59	39	19	13	21	37	50	27	36	13	48	8	34	18	33	26	42	30	2	48	57	30	33	40	21	44	51	
57	20	40	23	24	19	72	2	25	45	55	53	27	40	19	69	51	36	29	32	48	26	12	51	0	46	38	45	15	12	55	42	44	32	51	11	36	64	42	37	17	60	52	54	8	52	36	56	52	55	19	72	27	39	26	44	32	40	41	25	11	55	49	47	19	54	25	12	30	7	25	
45	32	20	37	36	40	28	48	34	28	13	7	43	10	28	25	42	26	26	27	16	43	36	20	46	0	24	10	53	58	31	23	24	20	29	58	32	26	14	40	31	14	39	55	55	55	11	33	39	18	38	26	43	14	33	22	43	31	14	25	35	12	19	28	45	48	39	38	22	39	36	
64	17	37	42	17	23	38	39	41	8	24	28	49	14	20	36	20	39	35	38	13	21	26	15	38	24	0	15	50	50	53	41	43	31	49	48	45	27	33	16	20	37	58	31	46	31	15	19	18	42	41	41	21	9	40	7	20	7	32	13	30	36	13	47	47	25	18	25	9	31	42	
55	27	28	41	29	35	26	47	39	17	10	13	48	5	26	24	31	33	32	34	6	35	33	10	45	10	15	0	55	57	42	32	34	26	39	56	39	19	23	31	28	22	49	45	53	45	9	23	29	28	41	27	35	6	38	11	35	21	22	20	35	22	8	38	48	37	32	34	16	38	41	
51	35	41	18	39	34	81	15	22	58	64	60	19	49	30	77	66	34	29	30	59	42	26	62	15	53	50	55	0	13	52	41	42	34	48	17	32	74	44	52	30	65	47	69	14	68	45	70	67	57	16	79	43	49	23	57	48	54	44	37	20	59	60	44	10	69	40	27	42	20	20	
63	32	49	29	35	29	84	10	32	57	67	65	31	52	31	81	61	44	37	40	61	36	24	63	12	58	50	57	13	0	62	50	52	42	59	5	43	76	52	47	29	71	59	63	4	61	48	68	63	65	26	84	37	51	33	56	42	51	51	37	22	66	61	54	22	64	35	24	42	19	31	
15	52	16	33	58	60	54	57	30	58	43	34	34	39	45	50	72	19	26	23	48	65	51	52	55	31	53	42	52	62	0	13	11	25	4	65	19	56	19	67	48	31	10	84	61	84	37	65	70	17	36	48	65	43	29	53	68	60	20	47	45	24	51	8	41	78	61	53	46	50	31	
23	39	3	22	44	46	50	44	19	47	36	28	25	28	31	46	61	6	13	10	38	51	37	42	42	23	41	32	41	50	13	0	2	11	9	52	10	49	9	54	34	28	17	72	49	71	25	55	59	17	25	45	52	32	17	42	54	48	9	34	32	21	41	6	31	66	47	39	34	37	21	
21	41	5	24	46	48	51	46	20	49	37	29	26	30	34	47	63	8	15	12	40	54	39	44	44	24	43	34	42	52	11	2	0	13	7	54	11	50	10	56	37	29	15	74	50	73	27	57	61	16	26	46	54	34	19	44	56	50	11	36	34	21	42	4	32	68	50	41	36	39	22	
33	27	9	17	33	34	49	34	14	38	32	26	23	21	20	45	51	8	6	8	32	40	26	36	32	20	31	26	34	42	25	11	13	0	21	43	13	45	10	43	23	31	27	61	39	60	17	47	50	23	18	46	40	24	13	33	43	38	9	22	21	24	34	17	25	56	36	28	23	26	16	
