4  10
16	79	1	88	69	48	50	60	27	53	
80	63	53	44	5	21	14	36	50	82	
60	60	30	34	73	79	6	3	100	31	
60	87	51	10	81	75	70	24	90	11	
200	244	107	277	117	441	206	370	310	295	
0	23	49	76	67	48	25	64	22	56	71	
23	0	41	57	44	25	16	41	5	36	58	
49	41	0	41	51	53	26	61	36	32	24	
76	57	41	0	27	48	51	43	55	21	24	
67	44	51	27	0	25	47	15	45	18	46	
48	25	53	48	25	0	36	17	29	29	59	
25	16	26	51	47	36	0	50	10	33	46	
64	41	61	43	15	17	50	0	44	30	60	
22	5	36	55	45	29	10	44	0	35	54	
56	36	32	21	18	29	33	30	35	0	31	
71	58	24	24	46	59	46	60	54	31	0	

