4  30
17	90	71	25	42	94	38	31	68	2	33	77	79	95	48	24	25	84	31	48	84	74	95	60	8	89	69	32	71	1	
13	96	73	73	8	54	22	67	43	76	71	18	97	1	96	35	65	45	20	18	2	12	59	63	39	18	88	35	58	30	
21	86	62	16	86	5	33	22	92	57	31	63	79	19	96	53	42	56	28	47	8	57	8	32	82	59	13	39	19	92	
19	9	49	69	22	82	10	49	79	48	12	9	95	35	93	35	64	51	85	83	95	83	58	20	10	50	52	89	61	13	
974	1450	925	910	204	111	833	661	451	1277	537	1450	347	513	520	381	574	206	1353	847	1046	72	431	1440	996	711	357	743	735	666	
0	27	57	57	12	70	57	29	26	41	63	68	63	28	52	65	7	47	53	52	25	45	46	27	49	65	71	47	81	54	35	
27	0	41	43	20	46	43	15	14	24	43	44	50	9	27	45	23	21	26	25	18	30	26	12	25	39	54	20	54	40	16	
57	41	0	2	44	24	4	56	32	17	13	23	9	50	53	13	50	29	30	46	31	12	62	32	53	57	14	38	49	4	55	
57	43	2	0	45	26	2	58	33	18	15	25	7	52	55	15	50	31	32	48	32	13	64	33	55	59	13	40	51	3	57	
12	20	44	45	0	59	45	28	14	29	51	56	51	25	47	53	5	37	43	45	13	32	44	16	45	59	59	39	72	42	33	
70	46	24	26	59	0	28	59	44	31	11	2	31	53	45	11	64	26	22	37	46	30	58	43	46	43	23	32	25	28	55	
57	43	4	2	45	28	0	59	33	18	17	27	6	52	57	17	50	33	34	50	32	13	65	33	57	61	14	41	53	3	58	
29	15	56	58	28	59	59	0	29	40	57	57	65	6	25	59	29	33	37	28	32	46	17	27	22	39	69	28	61	56	7	
26	14	32	33	14	44	33	29	0	15	37	42	39	23	39	39	19	24	30	36	4	20	41	3	37	50	46	28	58	30	30	
41	24	17	18	29	31	18	40	15	0	22	29	25	34	41	24	34	19	23	35	15	5	48	15	41	48	31	26	49	16	39	
63	43	13	15	51	11	17	57	37	22	0	10	20	51	48	2	57	25	23	40	38	20	59	36	48	48	15	33	36	17	54	
68	44	23	25	56	2	27	57	42	29	10	0	30	51	43	10	62	24	20	36	44	28	56	40	44	42	23	30	26	27	53	
63	50	9	7	51	31	6	65	39	25	20	30	0	59	63	20	56	39	40	56	38	19	72	40	63	67	11	48	56	9	64	
28	9	50	52	25	53	52	6	23	34	51	51	59	0	24	53	27	27	32	25	27	39	19	21	21	37	63	23	57	50	8	
52	27	53	55	47	45	57	25	39	41	48	43	63	24	0	49	50	24	24	7	43	46	14	36	2	13	63	15	38	55	18	
65	45	13	15	53	11	17	59	39	24	2	10	20	53	49	0	59	27	25	42	40	22	61	38	50	50	14	34	36	18	56	
7	23	50	50	5	64	50	29	19	34	57	62	56	27	50	59	0	42	48	49	18	38	46	21	47	62	64	43	76	47	35	
47	21	29	31	37	26	33	33	24	19	25	24	39	27	24	27	42	0	5	17	27	23	34	21	24	29	39	8	34	31	29	
53	26	30	32	43	22	34	37	30	23	23	20	40	32	24	25	48	5	0	17	33	26	36	27	25	27	38	10	28	32	33	
52	25	46	48	45	37	50	28	36	35	40	36	56	25	7	42	49	17	17	0	40	40	21	33	9	14	55	8	33	48	21	
25	18	31	32	13	46	32	32	4	15	38	44	38	27	43	40	18	27	33	40	0	19	45	7	41	54	45	32	61	29	34	
45	30	12	13	32	30	13	46	20	5	20	28	19	39	46	22	38	23	26	40	19	0	53	20	46	53	26	31	51	10	45	
46	26	62	64	44	58	65	17	41	48	59	56	72	19	14	61	46	34	36	21	45	53	0	38	12	26	73	26	52	63	11	
27	12	32	33	16	43	33	27	3	15	36	40	40	21	36	38	21	21	27	33	7	20	38	0	34	47	46	25	56	30	28	
49	25	53	55	45	46	57	22	37	41	48	44	63	21	2	50	47	24	25	9	41	46	12	34	0	16	63	15	41	55	15	
65	39	57	59	59	43	61	39	50	48	48	42	67	37	13	50	62	29	27	14	54	53	26	47	16	0	64	22	29	59	32	
71	54	14	13	59	23	14	69	46	31	15	23	11	63	63	14	64	39	38	55	45	26	73	46	63	64	0	48	49	17	67	
47	20	38	40	39	32	41	28	28	26	33	30	48	23	15	34	43	8	10	8	32	31	26	25	15	22	48	0	34	39	23	
81	54	49	51	72	25	53	61	58	49	36	26	56	57	38	36	76	34	28	33	61	51	52	56	41	29	49	34	0	53	55	
54	40	4	3	42	28	3	56	30	16	17	27	9	50	55	18	47	31	32	48	29	10	63	30	55	59	17	39	53	0	55	
35	16	55	57	33	55	58	7	30	39	54	53	64	8	18	56	35	29	33	21	34	45	11	28	15	32	67	23	55	55	0	

