4  10
16	77	64	8	63	84	78	33	79	97	
78	63	55	95	8	80	59	4	67	97	
65	2	67	98	7	80	1	54	91	18	
88	81	79	46	43	63	89	50	32	93	
166	492	235	340	444	235	327	305	261	325	
0	61	37	55	64	74	32	76	46	85	20	
61	0	29	13	48	21	30	14	26	29	41	
37	29	0	18	58	47	7	42	31	57	18	
55	13	18	0	56	34	22	24	31	42	34	
64	48	58	56	0	37	52	56	26	44	54	
74	21	47	34	37	0	46	20	29	10	55	
32	30	7	22	52	46	0	44	26	56	12	
76	14	42	24	56	20	44	0	39	23	56	
46	26	31	31	26	29	26	39	0	39	31	
85	29	57	42	44	10	56	23	39	0	66	
20	41	18	34	54	55	12	56	31	66	0	

