4  10
16	43	73	55	26	8	97	15	79	60	
77	63	90	96	43	86	23	17	78	41	
35	97	59	41	96	48	31	54	52	42	
6	10	64	3	52	55	1	33	60	49	
143	56	321	232	60	247	408	112	380	495	
0	84	40	65	71	46	48	65	48	53	69	
84	0	43	62	30	38	35	21	38	33	53	
40	43	0	48	37	7	8	25	11	17	46	
65	62	48	0	32	52	48	59	57	37	10	
71	30	37	32	0	36	31	33	40	20	22	
46	38	7	52	36	0	5	18	5	17	49	
48	35	8	48	31	5	0	17	9	12	44	
65	21	25	59	33	18	17	0	17	22	53	
48	38	11	57	40	5	9	17	0	21	53	
53	33	17	37	20	17	12	22	21	0	32	
69	53	46	10	22	49	44	53	53	32	0	

