4  30
17	59	52	31	16	46	100	66	66	77	35	76	9	93	77	12	98	59	9	61	44	85	12	75	30	54	8	31	49	52	
76	38	2	59	92	71	97	100	87	66	81	11	59	49	66	29	29	30	68	43	83	33	10	28	92	3	32	4	51	56	
41	22	19	7	46	40	20	53	25	83	68	34	43	40	85	60	93	11	83	23	72	41	58	75	56	66	86	2	86	97	
62	74	44	72	72	90	21	10	36	3	48	79	20	61	6	27	49	20	80	87	17	79	73	95	35	7	43	38	98	84	
1281	1181	517	680	256	909	1342	692	1155	670	661	608	645	1274	1122	1182	94	1497	1379	477	757	379	972	437	181	208	290	654	949	1495	
0	63	70	42	48	70	13	30	40	58	60	29	55	35	48	39	59	59	78	65	36	43	64	76	79	37	24	93	44	26	82	
63	0	10	62	19	43	53	34	23	5	18	34	16	28	14	56	62	61	51	47	28	20	9	55	22	56	39	42	20	51	39	
70	10	0	72	29	53	62	43	30	13	28	41	17	37	23	67	73	71	59	56	34	28	18	64	26	66	46	47	26	60	45	
42	62	72	0	43	40	31	36	51	60	48	46	65	40	51	5	19	18	46	34	50	48	57	41	67	7	44	71	52	18	58	
48	19	29	43	0	33	37	18	18	17	12	24	25	13	11	37	45	43	42	33	20	12	16	43	31	36	27	46	16	32	37	
70	43	53	40	33	0	57	44	51	45	25	54	56	43	43	37	28	27	9	7	53	45	34	11	34	38	56	31	49	44	19	
13	53	62	31	37	57	0	19	33	49	48	22	48	25	39	28	48	47	65	52	29	34	53	63	68	26	18	80	36	14	70	
30	34	43	36	18	44	19	0	16	30	30	11	31	6	20	30	45	44	53	42	14	15	34	53	49	29	12	63	18	19	53	
40	23	30	51	18	51	33	16	0	18	29	11	15	11	10	46	59	57	60	50	4	6	27	61	44	44	16	62	3	35	54	
58	5	13	60	17	45	49	30	18	0	20	29	12	24	10	54	62	60	53	48	22	15	13	56	27	53	34	47	14	47	43	
60	18	28	48	12	25	48	30	29	20	0	36	31	26	20	43	45	43	33	28	32	23	10	36	19	43	40	33	26	41	25	
29	34	41	46	24	54	22	11	11	29	36	0	26	11	20	41	57	55	63	53	7	15	37	64	53	39	5	70	14	28	61	
55	16	17	65	25	56	48	31	15	12	31	26	0	25	14	59	70	68	64	58	19	16	25	67	39	58	31	59	13	50	55	
35	28	37	40	13	43	25	6	11	24	26	11	25	0	14	34	48	46	52	42	10	9	28	53	44	33	14	59	12	24	50	
48	14	23	51	11	43	39	20	10	10	20	20	14	14	0	46	56	54	52	44	14	5	17	54	34	45	25	52	6	38	45	
39	56	67	5	37	37	28	30	46	54	43	41	59	34	46	0	20	19	44	31	44	43	51	40	62	2	39	67	47	14	55	
59	62	73	19	45	28	48	45	59	62	45	57	70	48	56	20	0	1	31	21	59	54	55	25	60	22	56	59	59	34	47	
59	61	71	18	43	27	47	44	57	60	43	55	68	46	54	19	1	0	30	20	57	53	53	24	59	21	55	58	57	33	46	
78	51	59	46	42	9	65	53	60	53	33	63	64	52	52	44	31	30	0	13	62	54	41	7	38	46	65	29	58	53	18	
65	47	56	34	33	7	52	42	50	48	28	53	58	42	44	31	21	20	13	0	52	45	38	11	40	32	54	38	49	39	26	
36	28	34	50	20	53	29	14	4	22	32	7	19	10	14	44	59	57	62	52	0	9	31	63	48	43	12	65	8	33	57	
43	20	28	48	12	45	34	15	6	15	23	15	16	9	5	43	54	53	54	45	9	0	22	55	38	41	19	56	4	33	48	
64	9	18	57	16	34	53	34	27	13	10	37	25	28	17	51	55	53	41	38	31	22	0	45	16	51	42	35	24	48	30	
76	55	64	41	43	11	63	53	61	56	36	64	67	53	54	40	25	24	7	11	63	55	45	0	44	41	65	36	59	50	25	
79	22	26	67	31	34	68	49	44	27	19	53	39	44	34	62	60	59	38	40	48	38	16	44	0	62	58	21	40	61	21	
37	56	66	7	36	38	26	29	44	53	43	39	58	33	45	2	22	21	46	32	43	41	51	41	62	0	37	68	45	12	55	
24	39	46	44	27	56	18	12	16	34	40	5	31	14	25	39	56	55	65	54	12	19	42	65	58	37	0	74	19	25	65	
93	42	47	71	46	31	80	63	62	47	33	70	59	59	52	67	59	58	29	38	65	56	35	36	21	68	74	0	59	71	12	
44	20	26	52	16	49	36	18	3	14	26	14	13	12	6	47	59	57	58	49	8	4	24	59	40	45	19	59	0	37	51	
26	51	60	18	32	44	14	19	35	47	41	28	50	24	38	14	34	33	53	39	33	33	48	50	61	12	25	71	37	0	59	
82	39	45	58	37	19	70	53	54	43	25	61	55	50	45	55	47	46	18	26	57	48	30	25	21	55	65	12	51	59	0	

