2  200
22	54	76	31	18	15	55	64	41	72	32	36	77	15	18	17	63	49	12	24	51	50	40	65	95	73	41	56	11	22	79	36	49	22	32	60	8	4	47	7	47	61	97	67	30	63	35	38	33	100	81	27	78	49	44	57	2	11	1	81	44	44	42	18	38	11	6	94	9	79	18	15	65	4	41	51	53	4	61	59	14	90	27	21	71	31	43	25	98	35	55	76	10	28	19	49	5	98	92	77	15	90	39	95	92	30	94	19	82	57	70	88	9	29	44	46	37	6	35	99	20	57	86	16	11	100	60	5	43	25	85	44	43	3	34	98	5	37	93	91	81	53	88	70	3	92	32	31	8	97	73	48	82	58	81	67	75	1	68	4	26	3	85	21	42	2	84	14	58	87	75	79	42	41	93	94	56	20	90	98	48	46	61	83	78	82	28	85	57	87	97	4	3	3	97	25	87	84	18	75	
83	7	81	83	85	86	18	88	8	21	24	59	44	8	56	55	79	41	22	17	42	30	58	4	3	67	24	63	83	62	22	50	91	93	55	96	58	68	48	23	76	67	42	16	15	54	71	56	35	11	58	100	42	18	11	44	32	99	78	32	61	66	33	53	71	2	45	100	39	82	22	7	56	97	53	63	8	70	69	19	73	34	34	63	98	55	72	3	75	70	69	20	81	40	41	37	88	59	2	70	31	39	30	90	22	13	72	82	96	61	68	15	99	18	53	25	78	58	8	3	95	17	13	7	31	45	91	94	88	56	79	69	68	67	19	65	25	85	15	47	82	43	37	61	98	35	20	94	80	64	41	4	33	42	29	62	28	56	80	59	94	47	32	52	10	7	84	62	96	49	3	25	95	51	2	8	31	25	43	71	28	22	46	9	8	13	38	45	17	66	57	7	8	55	22	65	46	17	78	54	
4259	413	5792	6993	9502	3307	3686	5270	3754	9163	3435	4627	7485	9689	4886	5975	1678	6300	6524	701	6849	8140	2685	5171	692	6739	1142	4205	9273	7188	458	5370	5119	1748	773	2863	6846	5573	7313	3074	3723	656	792	176	297	7208	3149	4052	3495	9126	3841	8931	8520	2565	4463	5030	4961	3692	6657	1177	9681	6027	2040	1509	8600	2078	8038	3726	2988	9905	9346	1793	2601	422	8103	864	2042	4378	2709	7437	1614	6276	8802	2487	9530	3653	2050	9868	7143	8171	5709	9004	3121	8688	3602	3171	8982	1154	971	2356	2199	5987	3422	3100	7803	8598	7539	2964	6493	2468	2253	2644	9126	763	4900	3528	5598	6842	1675	3477	8590	8651	5503	8564	9642	7264	1502	3867	8318	5255	3025	542	1593	4957	8367	2761	4668	2000	1483	1811	272	4296	5761	131	7095	2132	5790	3427	5189	9120	4907	3545	8480	141	3601	9654	2338	5353	7335	1150	6482	7291	8109	9092	1087	9557	8489	585	6211	3779	2581	1764	2651	4287	2592	4450	4258	6559	5538	2575	9617	9032	8647	1952	3812	4080	7828	1239	6857	8108	8131	6568	1175	6699	493	8031	3393	4184	3334	422	
0	73	67	50	45	71	77	56	31	50	84	73	42	53	48	40	33	67	89	68	48	60	48	59	49	66	88	65	67	45	32	67	39	43	76	90	70	58	35	83	16	54	51	65	75	21	49	14	52	59	68	68	51	87	52	90	77	84	69	63	67	11	59	55	56	76	62	15	57	80	23	40	59	54	72	42	37	73	26	46	77	66	64	25	55	27	68	68	90	62	36	77	37	53	58	57	43	71	43	27	80	37	62	65	35	59	61	37	46	48	2	62	78	27	46	61	81	57	53	69	51	33	45	65	59	37	36	56	94	64	55	31	64	65	84	27	51	56	74	20	61	76	22	59	53	21	43	71	62	47	26	28	60	71	59	88	67	74	56	26	69	53	54	59	49	53	63	26	52	64	84	68	66	77	41	84	62	63	50	41	32	24	17	46	18	25	23	12	69	27	3	47	69	78	63	37	43	91	98	45	72	
73	0	8	27	62	21	41	53	60	75	24	45	35	21	61	52	61	67	38	29	26	14	25	35	45	45	44	15	28	34	63	43	38	42	42	38	41	24	50	51	69	26	21	79	15	57	28	62	22	54	51	43	52	38	46	40	43	50	46	22	10	65	78	19	18	28	20	57	67	31	51	62	27	38	44	32	64	35	57	28	23	70	18	48	20	46	79	69	39	57	37	33	36	50	21	20	30	10	35	63	30	49	61	17	48	17	53	53	68	27	73	11	33	48	47	19	27	58	26	24	28	41	62	36	14	44	43	40	44	73	17	43	25	66	50	62	25	17	60	54	23	36	51	60	68	61	46	48	14	70	53	46	41	43	16	43	74	60	53	63	73	24	23	19	24	63	61	56	21	31	44	18	21	25	37	26	12	20	27	32	42	49	57	53	70	48	57	61	27	62	70	36	20	34	15	51	33	39	47	33	8	
67	8	0	19	54	15	35	45	52	66	22	38	31	13	53	44	53	59	35	21	22	13	18	27	37	37	40	7	21	26	55	35	33	33	35	35	34	16	42	45	61	25	16	71	12	49	20	55	19	46	44	35	43	35	38	37	37	45	38	14	13	58	70	16	14	23	22	51	59	27	45	53	19	30	37	24	56	29	49	23	19	62	10	42	12	39	71	61	36	49	30	27	29	41	13	19	25	5	32	55	26	41	53	10	40	9	45	45	60	24	66	9	28	41	39	10	24	50	18	17	20	34	54	29	8	36	35	32	41	65	12	36	17	58	44	54	17	13	52	48	15	30	45	52	60	53	38	41	14	61	45	39	33	36	8	39	66	52	45	55	65	21	21	19	19	54	53	48	15	23	39	11	14	21	29	24	12	12	19	26	37	42	51	44	62	42	49	54	21	54	64	27	24	29	7	43	25	36	44	31	5	
50	27	19	0	36	21	32	30	33	48	33	32	25	8	36	25	34	46	41	19	19	21	11	16	20	28	42	14	18	7	36	27	26	15	32	41	28	8	23	42	43	27	14	55	24	31	1	38	20	32	34	28	27	39	22	42	34	42	30	12	26	40	53	18	18	27	29	35	43	31	31	35	10	15	31	8	37	27	30	17	26	48	13	28	7	24	56	48	41	36	16	29	15	26	8	24	16	21	27	36	30	22	39	14	21	10	32	26	42	21	49	19	30	23	21	11	31	35	3	19	3	18	36	22	14	17	16	18	46	50	13	18	15	44	42	35	3	17	43	34	10	29	29	37	43	34	19	33	23	43	26	22	21	30	11	41	51	43	30	36	51	23	23	25	15	38	39	29	10	17	39	18	15	27	10	34	22	12	0	12	25	26	37	27	43	28	30	38	20	35	48	9	35	30	13	24	7	42	50	27	23	
45	62	54	36	0	48	41	14	14	12	59	35	52	44	3	11	12	21	57	40	51	57	44	30	17	29	52	47	40	29	12	30	51	21	39	58	34	38	17	43	29	60	49	22	54	27	35	32	53	17	28	31	12	54	17	57	40	44	30	41	63	34	18	53	53	48	64	39	12	49	42	5	35	25	34	36	8	41	21	48	52	21	45	41	43	35	25	23	57	19	38	45	38	15	41	59	45	54	54	17	50	16	17	46	19	45	19	12	6	53	43	55	47	30	14	43	53	13	35	44	34	35	0	33	51	22	25	24	60	20	49	31	40	19	45	18	39	53	30	43	40	43	38	14	9	24	16	32	59	7	24	34	26	34	46	53	23	30	14	18	24	56	57	60	48	8	18	22	46	36	47	47	43	51	29	58	58	42	36	38	45	37	44	9	28	41	24	40	42	18	44	26	71	46	47	14	33	58	63	55	56	
71	21	15	21	48	0	20	36	50	59	12	24	42	22	46	40	50	48	21	8	34	28	28	18	31	25	25	9	8	26	52	23	44	31	21	21	20	13	40	30	63	39	28	61	6	51	22	58	32	36	31	22	36	20	31	22	22	30	25	8	28	61	61	29	28	8	37	56	50	12	52	49	13	23	23	29	52	14	49	34	5	51	8	49	19	45	61	50	22	38	37	12	36	33	13	34	34	11	44	53	11	39	42	7	39	16	34	42	54	36	70	24	13	44	34	10	10	41	18	4	20	39	48	17	21	35	36	24	27	55	23	40	8	47	29	53	22	27	39	55	10	15	50	42	52	54	34	27	29	55	46	44	23	22	15	24	55	39	36	54	54	35	35	34	31	46	42	48	25	12	24	4	5	6	30	12	27	8	21	32	45	48	58	39	63	49	50	59	7	53	69	25	39	14	11	41	28	22	30	43	13	
77	41	35	32	41	20	0	27	49	50	23	7	57	38	38	38	49	33	16	14	51	46	43	18	28	12	11	27	15	34	50	11	59	33	2	17	7	25	42	10	65	57	45	48	25	55	33	63	50	25	16	9	29	13	26	15	2	10	11	23	48	65	50	47	46	13	56	64	39	11	62	44	22	22	7	40	48	6	51	49	19	37	25	59	35	54	46	34	16	26	48	8	47	26	28	52	48	31	59	53	13	40	30	25	41	33	23	42	46	53	75	43	8	51	32	27	16	30	29	17	30	49	41	11	39	40	41	21	18	41	41	47	19	33	10	53	35	45	21	65	24	5	59	31	42	56	34	11	48	47	51	52	17	7	33	11	40	21	27	54	39	53	53	52	47	36	29	51	41	15	7	23	21	16	38	21	46	24	32	44	57	56	67	34	64	59	53	66	14	53	75	30	59	7	29	41	38	17	21	59	33	
56	53	45	30	14	36	27	0	25	24	46	20	52	39	11	15	24	15	43	27	49	51	41	18	10	14	38	38	27	25	25	16	52	18	25	44	20	29	22	29	41	57	45	26	43	35	30	42	50	3	13	17	5	40	8	42	26	30	16	31	56	44	25	49	49	35	60	46	13	36	48	18	26	15	20	34	22	27	30	46	39	17	35	46	37	40	26	17	43	7	39	32	38	4	32	55	43	44	54	29	37	20	8	36	23	38	5	19	19	51	54	49	33	35	12	34	40	5	29	32	27	37	14	20	44	24	27	13	45	19	43	34	29	13	30	29	34	48	18	50	30	29	44	7	16	34	16	17	53	20	31	38	13	19	39	38	21	18	0	30	20	53	54	56	45	10	9	30	41	24	33	36	32	38	27	45	52	33	30	37	47	42	51	9	40	46	32	48	29	29	55	21	65	32	38	19	30	44	48	55	46	
31	60	52	33	14	50	49	25	0	22	62	43	42	40	17	10	2	35	64	43	43	51	38	33	21	37	60	47	43	26	3	38	41	19	47	64	42	38	10	53	16	52	43	35	55	13	32	18	46	28	38	39	20	61	22	64	49	54	39	42	58	20	30	47	48	52	58	25	26	55	29	9	36	28	43	29	7	47	7	40	55	35	45	29	40	24	38	37	64	31	29	51	29	23	40	52	37	54	44	4	55	11	30	46	12	43	30	7	16	44	29	51	52	18	17	43	57	26	34	46	32	25	14	38	47	16	18	28	67	34	44	21	42	33	55	4	35	47	42	30	40	49	25	27	23	10	15	41	54	18	12	22	32	42	44	61	37	42	25	5	38	49	50	54	42	22	31	8	40	39	56	48	44	54	23	61	53	43	33	31	34	24	30	15	15	29	10	26	45	4	30	25	64	52	46	9	27	65	71	46	56	
